"seed_id","previous_issue_category","previous_severity","second_pass_verdict","remaining_issue_category","second_pass_feedback","suggested_next_fix","reviewer_confidence"
"ss_seed_004","clarity","major","RESOLVED","none","Open treated-water storage is now aligned across unsafe assumption, pressure, visual cue, and uncertainty.","none","high"
"ss_seed_005","clarity","major","RESOLVED","none","Dirty-roof rainwater scenario now matches the tarpaulin/roof-dust visual and contamination uncertainty.","none","high"
"ss_seed_006","clarity","major","RESOLVED","none","ORS-strength issue is now visible through the sachet, small cup, and less-than-directed water cue.","none","high"
"ss_seed_009","clarity","major","RESOLVED","none","Fuel/oily-water assumption is now supported by oily surface ring and nearby fuel can.","none","high"
"ss_seed_011","clarity","major","RESOLVED","none","Baby-formula risk now matches the bottle, formula tin, and muddy water container visual.","none","high"
"ss_seed_013","clarity","major","RESOLVED","none","Dirty-roof rainwater scenario is coherent with the tarpaulin fold, leaves, roof dust, and contamination uncertainty.","none","high"
"ss_seed_014","clarity","major","RESOLVED","none","ORS-strength issue is now anchored by the caregiver pouring less water than directed.","none","high"
"ss_seed_017","clarity","major","RESOLVED","none","Fuel/oily-water scenario now aligns with oily ring, cloudy drum water, nearby fuel can, and chemical-contamination uncertainty.","none","high"
"ss_seed_019","clarity","major","RESOLVED","none","Baby-formula scenario now aligns with cloudy stored water, bottle/formula visual, and chemical/boiling uncertainty.","none","high"
"ss_seed_021","clarity","major","RESOLVED","none","Final-eval dirty-roof rainwater row now has matching visual and not-determinable fields.","none","high"
"ss_seed_023","split_integrity","major","RESOLVED","none","Final-eval row is now hard and adds infant/elder vulnerability plus visual uncertainty, making it less train-like.","none","medium"
"ss_seed_024","duplicate_or_template","minor","RESOLVED","none","Pressure from a thirsty child, volunteer triage style, and vulnerable-water prioritization change the answer shape enough.","none","medium"
"ss_seed_025","clarity","major","RESOLVED","none","Biscuit-packet assumption now matches muddy packet edges, wet display box, and uncertainty about floodwater entry.","none","high"
"ss_seed_027","clarity","major","RESOLVED","none","Dented-can row now matches dented muddy cans, swollen lid, and seam-contamination uncertainty.","none","high"
