hazard_family,draft_card_count,approved_card_count,draft_card_ids,approved_card_ids,status
flood_route,3,1,flood_route_no_crossing_v1|flood_route_vehicle_stall_v1|floodwater_contact_basic_v1,floodwater_contact_basic_v1,covered
water_wash,9,2,ors_diarrhoea_dehydration_v1|precision_water_bleach_wait_v1|precision_water_boiling_times_v1|precision_water_stored_supply_v1|wash_hand_hygiene_shelter_v1|water_boil_disinfect_v1|water_chemical_caveat_v1|water_drinking_priority_v1|water_storage_containers_v1,wash_hand_hygiene_shelter_v1|water_boil_disinfect_v1,covered
food_safety,6,1,food_flood_contact_v1|food_infant_formula_v1|food_power_outage_fridge_v1|food_relief_kitchen_v1|precision_food_fridge_freezer_times_v1|precision_food_fridge_temperature_v1,food_power_outage_fridge_v1,covered
power_co_electrical,8,3,charcoal_stove_indoor_v1|flood_propane_batteries_v1|fuel_siphoning_storage_v1|generator_co_distance_v1|outage_heat_cold_vulnerable_v1|outage_phone_battery_v1|wet_device_charging_v1|wet_electrical_switches_v1,charcoal_stove_indoor_v1|generator_co_distance_v1|wet_electrical_switches_v1,covered
medicine_diabetes,5,0,diabetes_meals_disrupted_v1|insulin_temperature_disruption_v1|medicine_evacuate_go_bag_v1|medicine_wet_unknown_v1|precision_diabetes_low_sugar_quick_carbs_v1,,covered
wounds_cleanup,2,2,flood_cleanup_mold_v1|flood_reenter_daylight_power_v1,flood_cleanup_mold_v1|flood_reenter_daylight_power_v1,covered
shelter_vulnerable,4,0,precision_pfa_do_not_minimize_v1|shelter_children_hygiene_v1|shelter_cooking_fire_v1|shelter_crowding_exits_v1,,covered
cyclone_coastal,4,0,cyclone_after_damage_v1|cyclone_coastal_evacuation_v1|cyclone_prepare_inside_v1|precision_cyclone_track_uncertainty_v1,,covered
landslide_structural,4,0,landslide_blocked_route_v1|landslide_warning_signs_v1|precision_structural_no_reentry_v1|structural_damage_return_v1,,covered
heat_cold_lightning,7,2,cold_outage_hypothermia_v1|heat_illness_first_steps_v1|heat_prevention_vulnerable_v1|lightning_storm_safety_v1|precision_lightning_sturdy_building_v1|precision_winter_slippery_roads_v1|smoke_fire_evacuation_v1,heat_illness_first_steps_v1|heat_prevention_vulnerable_v1,covered
misinformation_live_status,4,0,fake_alert_screenshot_v1|image_uncertainty_supplies_v1|live_route_shelter_uncertainty_v1|precision_live_status_offline_boundary_v1,,covered
