hazard_family,required_terms,accepted_source_count,core_source_count,india_source_count,source_ids,status
flood_route,flood|floodwater|route_safety,9,8,0,cdc_floodwater_safety|cdc_food_after_emergency|cdc_reenter_flooded_home|fda_drugs_disaster|fda_food_water_floods|nws_flood_safety|nws_turn_around|ready_floods|ready_landslides,covered
water_wash,boil_water|disinfection|sanitation|wash|water_safety,5,3,0,cdc_emergency_water|epa_emergency_disinfection|fda_food_water_floods|unicef_wash_emergencies|who_wash_emergencies,covered
food_safety,food|food_safety|power_outage,5,5,0,cdc_food_after_emergency|cdc_power_outage|fda_food_water_floods|ready_power_outages|ready_winter,covered
power_co_electrical,carbon_monoxide|electrical|generators|power_outage,8,8,0,cdc_co_clinical_disasters|cdc_floodwater_safety|cdc_food_after_emergency|cdc_power_outage|cdc_reenter_flooded_home|fda_food_water_floods|ready_power_outages|ready_winter,covered
medicine_diabetes,diabetes|drug_safety|insulin|medicine|medicine_disruption,4,4,0,cdc_diabetes_emergencies|cdc_insulin_emergency|cdc_power_outage|fda_drugs_disaster,covered
wounds_cleanup,contamination|flood_cleanup|indoor_air|mold|wounds,3,3,0,cdc_floodwater_safety|cdc_reenter_flooded_home|epa_flood_cleanup_iaq,covered
shelter_vulnerable,children|emergencies|shelter|shelter_hygiene|vulnerable_people,4,2,1,epa_flood_cleanup_iaq|ndma_cyclone_guidelines_pdf|ready_heat|unicef_wash_emergencies,covered
cyclone_coastal,coastal_evacuation|cyclone,2,1,2,ndma_cyclone|ndma_cyclone_guidelines_pdf,covered
landslide_structural,landslide|structural,2,2,0,cdc_reenter_flooded_home|ready_landslides,covered
heat_cold_lightning,cold_wave|heatwave|lightning|storm|winter_storm,6,2,1,ndma_heat_wave|nws_heat|nws_lightning|nws_winter|ready_heat|ready_winter,covered
misinformation_live_status,live_fact_uncertainty|misinformation|risk_communication|weather_alerts,2,0,1,imd_weather_warnings|who_risk_comm,covered
