cluster_key,count,seed_ids
accessibility elder disabled pregnancy child language|how to allocate a small amount of safer water between infant feeding cleanup handwashing and older child needs|resource plan|resource allocation pressure,1,ss_train_exp_b03_015
accessibility elder disabled pregnancy child language|how to explain toilet overflow hygiene steps to a family with low literacy without shaming them|short offline card|low bandwidth communication,1,ss_train_exp_b03_017
accessibility elder disabled pregnancy child language|how to plan bathroom access and cleanup for a wheelchair user when the chair wheels passed through flood mud|resource plan|care urgency pressure,1,ss_train_exp_b03_007
accessibility elder disabled pregnancy child language|how volunteers should communicate queue changes and hygiene instructions to a deaf parent without separating her from her child|communication|time pressure,1,ss_train_exp_b03_005
accessibility elder disabled pregnancy child language|how volunteers should triage toilet access when an elder cannot safely stand in a long queue and open defecation is being suggested|volunteer triage|crowd fairness pressure,1,ss_train_exp_b03_004
accessibility elder disabled pregnancy child language|what immediate steps volunteers should take when a pregnant person is being pushed toward a crowded wet boarding gate|first steps|crowd pressure,1,ss_train_exp_b03_010
accessibility elder disabled pregnancy child language|whether a caregiver should give an elder a wet partly unreadable tablet strip because the daily routine is due|uncertainty boundary|routine pressure,1,ss_train_exp_b03_012
accessibility elder disabled pregnancy child language|whether neighbors should rush a blind resident down a wet stairwell without explaining hazards because everyone is evacuating|urgent stop|panic pressure,1,ss_train_exp_b03_014
accessibility elder disabled pregnancy child language|whether to translate and announce an unverified voice note about contaminated camp water to non local language speakers|uncertainty boundary|verification pressure,1,ss_train_exp_b03_006
coastal flood backflow|a vendor group wants a very short card for stopping workers from retrieving crates near sudden coastal backflow|short offline card|resource protection pressure,1,ss_train_b02_004
coastal flood reentry|a family sends a photo of a saltwater flooded house and asks if their elder can sleep inside tonight|uncertainty boundary|shelter fatigue pressure,1,ss_train_b02_014
dam bund flash flood|a ward volunteer asks whether a rumored bund breach is real and whether families should start running toward the main road|uncertainty boundary|verification pressure,1,ss_train_b02_003
flash flood building shelter|a school admin must organize students upstairs while adults argue about sending older students to check if the ground floor water is rising|resource plan|triage pressure,1,ss_train_b02_005
flash flood dry channel|a parent asks if children can keep playing cricket in a dry riverbed because water has not reached yet|urgent stop|compliance pressure,1,ss_train_b02_016
flash flood storm drain|relief volunteers must decide who needs immediate help when runoff is entering lanes and one wheelchair user is near a drain opening|volunteer triage|prioritization pressure,1,ss_train_b02_006
flash flood transit|a bus conductor must decide whether to let passengers walk across a water covered low bridge to save time|first steps|travel pressure,1,ss_train_b02_002
heatwave cold lightning dust|a bus conductor must decide whether to keep passengers queued beside metal railings when thunder and visible lightning are nearby|short offline card|crowd pressure,1,ss_expansion_b01_004
heatwave cold lightning dust|a caregiver must decide whether to keep using an indoor coal or gas heater when several people have headache and nausea|urgent stop|comfort pressure,1,ss_expansion_b01_003
heatwave cold lightning dust|a community helper must avoid certifying air safety from a photo while giving lower risk dust exposure steps|uncertainty boundary|verification pressure,1,ss_expansion_b01_005
heatwave cold lightning dust|a family caregiver must decide whether to stop machinery and move a child away during sudden dust and low visibility|urgent stop|economic pressure,1,ss_expansion_b01_006
heatwave cold lightning dust|a family caregiver must organize neighbor checks and cooling priorities for an elder during prolonged heat and power loss|resource plan|communication pressure,1,ss_expansion_b01_008
