row_id,split,hazard,risk_level,language,review_status,source_check_status,safety_check_status,style_check_status,reviewer,reviewed_at,review_notes,user_prompt,target_response,source_rule_ids,must_include,must_avoid
beacon_asst_sft_v1_0000,train,wash_ors_water,critical,english,pending,pending,pending,pending,,,,We are dealing with this: family on the first floor after floodwater entered the lane;  low-network village after heavy rain; no reliable network; offline guidance is needed. People are saying: Clear-looking floodwater is safe after settling. a child is thirsty and crying.. What should we do now?,"Do not use this assumption as your water-safety check: Clear-looking floodwater is safe after settling.
Keep the safest available water for drinking, ORS, baby formula, and medicines first. Give priority to child under five. Mark doubtful water separately, use covered clean containers, and avoid shared cups where possible. If ORS is needed, mix it with the safest treated water you can get and do not change the packet concentration.
Escalate quickly if you see lethargy, repeated vomiting, blood in stool, or if vulnerable people cannot move, drink, breathe normally, or stay alert.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"do not claim uncertain water is definitely safe|boiling/disinfection does not reliably remove chemical or fuel contamination|lead with a clear stop/avoid action|reserve the safest water first for child under five, drinking, medicine, and infant feeding",clear water is safe|boiling removes fuel or chemical contamination
beacon_asst_sft_v1_0001,train,wash_ors_water,critical,english,pending,pending,pending,pending,,,,We are dealing with this: shopkeepers storing water in reused plastic drums near fuel cans;  hill-road landslide-prone route; no reliable network; offline guidance is needed. People are saying: Boiling fixes fuel-smelling or oily water. people want to save fuel for cooking.. What should we do now?,"That is not a safe basis for drinking water or ORS: Boiling fixes fuel-smelling or oily water. Boiling may help with germs, but it does not reliably remove fuel or chemical contamination.
Keep the safest available water for drinking, ORS, baby formula, and medicines first. Give priority to elder. Mark doubtful water separately, use covered clean containers, and avoid shared cups where possible. If ORS is needed, mix it with the safest treated water you can get and do not change the packet concentration.
Escalate quickly if you see repeated vomiting, blood in stool, sunken eyes, or if vulnerable people cannot move, drink, breathe normally, or stay alert.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"boiling/disinfection does not reliably remove chemical or fuel contamination|put life safety and contamination control before logistics|reserve the safest water first for elder, drinking, medicine, and infant feeding|treat fuel smell, oil sheen, or chemical suspicion as a reason to avoid that water source",boiling removes fuel or chemical contamination
beacon_asst_sft_v1_0002,train,wash_ors_water,high,english,pending,pending,pending,pending,,,,We are dealing with this: crowded school shelter with one ORS packet and limited safe water;  apartment block during long power outage; no reliable network; offline guidance is needed. People are saying: ORS can be mixed with any available water in an emergency. several people have loose stools.. What should we do now?,"That is not a safe basis for drinking water or ORS: ORS can be mixed with any available water in an emergency.
Keep the safest available water for drinking, ORS, baby formula, and medicines first. Give priority to infant. Mark doubtful water separately, use covered clean containers, and avoid shared cups where possible. If ORS is needed, mix it with the safest treated water you can get and do not change the packet concentration.
Escalate quickly if you see blood in stool, sunken eyes, confusion, or if vulnerable people cannot move, drink, breathe normally, or stay alert.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"boiling/disinfection does not reliably remove chemical or fuel contamination|mix ORS only with safer treated water when possible|watch for lethargy, repeated vomiting, blood in stool, or inability to drink|protect vulnerable people first",make ORS stronger than directed|unsafe water is fine for infants after one boil
beacon_asst_sft_v1_0003,train,wash_ors_water,high,english,pending,pending,pending,pending,,,,We are dealing with this: family preparing baby formula during a water outage;  urban flood in a market lane; no reliable network; offline guidance is needed. People are saying: Baby formula can be made with cloudy water if boiled once. only cloudy stored water is available.. What should we do now?,"Do not use this assumption as your water-safety check: Baby formula can be made with cloudy water if boiled once. Boiling may help with germs, but it does not reliably remove fuel or chemical contamination.
Keep the safest available water for drinking, ORS, baby formula, and medicines first. Give priority to infant. Mark doubtful water separately, use covered clean containers, and avoid shared cups where possible. If ORS is needed, mix it with the safest treated water you can get and do not change the packet concentration.
Escalate quickly if you see sunken eyes, confusion, unable to drink, or if vulnerable people cannot move, drink, breathe normally, or stay alert.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"watch for lethargy, repeated vomiting, blood in stool, or inability to drink|do not claim uncertain water is definitely safe|separate immediate danger, watch-list, and routine actions|reserve the safest water first for infant, drinking, medicine, and infant feeding",unsafe water is fine for infants after one boil|clear water is safe
beacon_asst_sft_v1_0004,train,wash_ors_water,critical,hinglish,pending,pending,pending,pending,,,,volunteers managing a relief-camp drinking-water queue;  relief camp with local volunteers; no reliable network; offline guidance is needed. Log bol rahe hain: A clean-looking open bucket keeps treated water safe all day. many people are dipping cups into the same bucket.. Abhi safe tareeka kya hai?,"Drinking/ORS ke decision me yeh assumption use mat karo: A clean-looking open bucket keeps treated water safe all day.
Sabse safe available paani peene, ORS, baby formula, aur medicine ke liye bachao. person with diabetes ko pehle priority do. Doubtful paani ko alag mark karo, clean covered container use karo, aur cup/bartan share karne se bacho.
Agar confusion, unable to drink, lethargy dikhe, trained local help ya medical/rescue help jaldi lo.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"watch for lethargy, repeated vomiting, blood in stool, or inability to drink|do not claim uncertain water is definitely safe|allow light Hinglish phrasing without slang-heavy text|reserve the safest water first for person with diabetes, drinking, medicine, and infant feeding",clear water is safe|boiling removes fuel or chemical contamination
beacon_asst_sft_v1_0005,train,wash_ors_water,medium,english,pending,pending,pending,pending,,,,We are dealing with this: low-network village collecting roof runoff after rain;  rural PHC or ASHA worker not immediately reachable; no reliable network; offline guidance is needed. People are saying: Rainwater collected from a dirty roof is safe without treatment. only two litres of cleaner-looking water remain.. What should we do now?,"That is not a safe basis for drinking water or ORS: Rainwater collected from a dirty roof is safe without treatment.
Keep the safest available water for drinking, ORS, baby formula, and medicines first. Give priority to pregnant person. Mark doubtful water separately, use covered clean containers, and avoid shared cups where possible. If ORS is needed, mix it with the safest treated water you can get and do not change the packet concentration.
Escalate quickly if you see unable to drink, lethargy, repeated vomiting, or if vulnerable people cannot move, drink, breathe normally, or stay alert.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"do not claim uncertain water is definitely safe|boiling/disinfection does not reliably remove chemical or fuel contamination|give lower-risk checks the user can do offline|reserve the safest water first for pregnant person, drinking, medicine, and infant feeding",boiling removes fuel or chemical contamination
beacon_asst_sft_v1_0006,train,wash_ors_water,high,english,pending,pending,pending,pending,,,,We are dealing with this: caregiver helping a vomiting child when ORS is not available;  cyclone shelter in a school building; no reliable network; offline guidance is needed. People are saying: A vomiting child should stop all fluids and food until vomiting ends. family wants to stop all feeding until vomiting ends.. What should we do now?,"Treat the water as doubtful until there is a safer source or proper treatment: A vomiting child should stop all fluids and food until vomiting ends.
Keep the safest available water for drinking, ORS, baby formula, and medicines first. Give priority to child under five. Mark doubtful water separately, use covered clean containers, and avoid shared cups where possible. If ORS is needed, mix it with the safest treated water you can get and do not change the packet concentration.
Escalate quickly if you see lethargy, repeated vomiting, blood in stool, or if vulnerable people cannot move, drink, breathe normally, or stay alert.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"boiling/disinfection does not reliably remove chemical or fuel contamination|keep the answer compact enough for a low-network saved card|reserve the safest water first for child under five, drinking, medicine, and infant feeding|do not use clear appearance as proof that floodwater is safe to drink",unsafe water is fine for infants after one boil
beacon_asst_sft_v1_0007,train,wash_ors_water,high,english,pending,pending,pending,pending,,,,"We are dealing with this: multi-generation family sharing one water container;  pilgrim group cut off from mobile data; no reliable network; offline guidance is needed. People are saying: If adults tolerate the water, infants and elders can use it too. adults say they drank it and felt fine.. What should we do now?","That is not a safe basis for drinking water or ORS: If adults tolerate the water, infants and elders can use it too.
Keep the safest available water for drinking, ORS, baby formula, and medicines first. Give priority to infant. Mark doubtful water separately, use covered clean containers, and avoid shared cups where possible. If ORS is needed, mix it with the safest treated water you can get and do not change the packet concentration.
Escalate quickly if you see repeated vomiting, blood in stool, sunken eyes, or if vulnerable people cannot move, drink, breathe normally, or stay alert.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"boiling/disinfection does not reliably remove chemical or fuel contamination|watch for lethargy, repeated vomiting, blood in stool, or inability to drink|use direct action lines instead of a long explanation|reserve the safest water first for infant, drinking, medicine, and infant feeding",unsafe water is fine for infants after one boil|clear water is safe
beacon_asst_sft_v1_0008,train,wash_ors_water,critical,english,pending,pending,pending,pending,,,,We are dealing with this: family on the first floor after floodwater entered the lane;  low-network village after heavy rain; no reliable network; offline guidance is needed. People are saying: Clear-looking floodwater is safe after settling. a child is thirsty and crying.. What should we do now? Please keep it short because phone battery is low.,"That is not a safe basis for drinking water or ORS: Clear-looking floodwater is safe after settling.
Keep the safest available water for drinking, ORS, baby formula, and medicines first. Give priority to child under five. Mark doubtful water separately, use covered clean containers, and avoid shared cups where possible. If ORS is needed, mix it with the safest treated water you can get and do not change the packet concentration.
Escalate quickly if you see blood in stool, sunken eyes, confusion, or if vulnerable people cannot move, drink, breathe normally, or stay alert.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"watch for lethargy, repeated vomiting, blood in stool, or inability to drink|do not claim uncertain water is definitely safe|end with escalation signs|reserve the safest water first for child under five, drinking, medicine, and infant feeding",clear water is safe|boiling removes fuel or chemical contamination
beacon_asst_sft_v1_0009,train,wash_ors_water,critical,english,pending,pending,pending,pending,,,,We are dealing with this: shopkeepers storing water in reused plastic drums near fuel cans;  hill-road landslide-prone route; no reliable network; offline guidance is needed. People are saying: Boiling fixes fuel-smelling or oily water. people want to save fuel for cooking.. What should we do now? Please keep it short because phone battery is low.,"Do not use this assumption as your water-safety check: Boiling fixes fuel-smelling or oily water. Boiling may help with germs, but it does not reliably remove fuel or chemical contamination.
Keep the safest available water for drinking, ORS, baby formula, and medicines first. Give priority to elder. Mark doubtful water separately, use covered clean containers, and avoid shared cups where possible. If ORS is needed, mix it with the safest treated water you can get and do not change the packet concentration.
Escalate quickly if you see sunken eyes, confusion, unable to drink, or if vulnerable people cannot move, drink, breathe normally, or stay alert.",water_treat_uncertain_source|safe_storage|ors_safe_water|dehydration_escalation,"watch for lethargy, repeated vomiting, blood in stool, or inability to drink|do not claim uncertain water is definitely safe|assign simple roles for family or neighbors|reserve the safest water first for elder, drinking, medicine, and infant feeding",boiling removes fuel or chemical contamination
