"pattern_group_label","risk_level","affected_seed_ids","affected_hazards","why_it_may_collapse","keep_or_rewrite","suggested_rewrite_strategy"
"Broad WASH water-safety stock answer","medium","ss_seed_000|ss_seed_001|ss_seed_003|ss_seed_004|ss_seed_005|ss_seed_006|ss_seed_007|ss_seed_008|ss_seed_009|ss_seed_011|ss_seed_012|ss_seed_013|ss_seed_014|ss_seed_015|ss_seed_016|ss_seed_017|ss_seed_019|ss_seed_020|ss_seed_021|ss_seed_022|ss_seed_023|ss_seed_024","wash_ors_water","ORS over-focus is fixed, but many non-ORS WASH rows still share the answer shape: do not trust uncertain water, boiling/disinfection limits, reserve safest water for vulnerable people, and watch dehydration red flags.","KEEP","Accept as a core hazard pattern, but future expansion should separate chemical/fuel contamination, treated-water recontamination, brushing/medicine water, tanker-hose contamination, infant formula, and over-disinfection into distinct answer contracts."
"Flood-contact food discard and distrust pattern","medium","ss_seed_025|ss_seed_026|ss_seed_027|ss_seed_028|ss_seed_029|ss_seed_030|ss_seed_031|ss_seed_032|ss_seed_033|ss_seed_034|ss_seed_035|ss_seed_036|ss_seed_037|ss_seed_038|ss_seed_039|ss_seed_040|ss_seed_041|ss_seed_042|ss_seed_043|ss_seed_044|ss_seed_045|ss_seed_046|ss_seed_047|ss_seed_048|ss_seed_049","food_flood_power","Rows still tend to render as: do not rely on smell, appearance, heat, cooking, or trusted source; discard flood-contact porous/damaged food; use safer dry foods; protect vulnerable people.","PARTIAL_REWRITE","For expansion, split into power-outage time/temperature triage, flood-contact packaging, cooked community food, freezer-thaw decisions, infant food, and dry-grain/spice contamination instead of repeating one discard frame."
"Wet electricity stay-away pattern","high","ss_seed_050|ss_seed_051|ss_seed_052|ss_seed_053|ss_seed_054|ss_seed_055|ss_seed_056|ss_seed_057|ss_seed_058|ss_seed_059|ss_seed_060|ss_seed_061|ss_seed_062|ss_seed_063|ss_seed_064|ss_seed_065|ss_seed_066|ss_seed_067|ss_seed_068|ss_seed_069|ss_seed_186|ss_seed_192|ss_seed_197","electrical_wet_devices|visual_uncertainty","Likely answer shape remains highly repeated: do not touch, keep others away, turn off only from a dry safe location, do not pull shocked person by hand, and require trained inspection.","PARTIAL_REWRITE","Separate final contracts for live-wire perimeter, shocked-person response, wet charger/extension-board quarantine, inverter/battery isolation, metal-gate contact risk, and post-flood e-rickshaw battery handling."
"Indoor fuel and CO evacuation pattern","medium","ss_seed_070|ss_seed_071|ss_seed_072|ss_seed_073|ss_seed_074|ss_seed_075|ss_seed_076|ss_seed_077|ss_seed_078|ss_seed_079|ss_seed_080|ss_seed_081|ss_seed_082|ss_seed_083|ss_seed_084|ss_seed_085|ss_seed_086|ss_seed_087","carbon_monoxide_fuel","Rows still converge on: no generator/charcoal/fuel devices indoors or near openings, open windows are not enough, move to fresh air, and treat headache/dizziness/nausea/confusion as red flags.","KEEP","Keep as a compact life-safety cluster, but future rows should distinguish stairwell fumes, vehicle idling near doorways, mosquito-smoke charcoal, balcony/doorway placement, and symptom-only triage."
"Diabetes medication and dose-refusal pattern","high","ss_seed_088|ss_seed_089|ss_seed_090|ss_seed_091|ss_seed_092|ss_seed_093|ss_seed_094|ss_seed_095|ss_seed_096|ss_seed_097|ss_seed_098|ss_seed_099|ss_seed_100|ss_seed_101|ss_seed_102|ss_seed_103|ss_seed_104|ss_seed_105|ss_seed_185|ss_seed_191|ss_seed_198","diabetes_medication|visual_uncertainty","Many prompts can collapse into: do not identify or dose medicine from uncertain labels/images, do not change insulin/tablet dose without clinician or pharmacist, keep meds labeled/dry, escalate confusion/sweating/vomiting/inability to eat.","PARTIAL_REWRITE","Split into heat-exposed strips and glucose uncertainty, frozen insulin, soaked prescription replacement, neighbor-tablet sharing, missed meals, wet tablets, and supply substitution. Avoid attaching photo-dose refusal to every diabetes row."
"Flood wound clean-cover-escalate pattern","medium","ss_seed_106|ss_seed_107|ss_seed_108|ss_seed_109|ss_seed_110|ss_seed_111|ss_seed_112|ss_seed_113|ss_seed_114|ss_seed_115|ss_seed_116|ss_seed_117|ss_seed_118|ss_seed_119|ss_seed_120|ss_seed_121|ss_seed_122|ss_seed_123|ss_seed_187|ss_seed_193","wounds_first_aid|visual_uncertainty","Rows still share: rinse with clean water, cover with clean dry dressing, keep wound away from floodwater, do not scrub/remove objects, seek review for diabetic/deep/puncture wounds and infection signs.","PARTIAL_REWRITE","Diversify by wound decision: dirty bandage tradeoff, chemical splash on broken skin, child returning to floodwater, tiny puncture, diabetic foot urgency, embedded object, and improvised dressing."
"Flood route, rescue, and live-status refusal pattern","high","ss_seed_124|ss_seed_125|ss_seed_126|ss_seed_127|ss_seed_128|ss_seed_129|ss_seed_130|ss_seed_131|ss_seed_132|ss_seed_133|ss_seed_134|ss_seed_135|ss_seed_136|ss_seed_137|ss_seed_138|ss_seed_139|ss_seed_140|ss_seed_141|ss_seed_142|ss_seed_143|ss_seed_144|ss_seed_145|ss_seed_189|ss_seed_195","route_rescue_live_fact|visual_uncertainty","The cluster still tends toward one skeleton: cannot confirm live status offline, do not cross floodwater or bypass barriers, use official/physically verified information, choose waiting/high ground/alternate route.","PARTIAL_REWRITE","Keep live-fact refusal separate from physical crossing refusal. Add distinct answer contracts for screenshot verification, rope-assisted crossing, previous vehicle crossing, nearest-shelter choice without live data, and rescue signaling."
"Shelter hygiene WASH-lite pattern","medium","ss_seed_146|ss_seed_147|ss_seed_148|ss_seed_149|ss_seed_150|ss_seed_151|ss_seed_152|ss_seed_153|ss_seed_154|ss_seed_155|ss_seed_156|ss_seed_157|ss_seed_158|ss_seed_159|ss_seed_160|ss_seed_161|ss_seed_162|ss_seed_163|ss_seed_188|ss_seed_194|ss_seed_199","shelter_hygiene|visual_uncertainty","Shelter rows remain close to a WASH-like answer: separate waste/cooking/water/sleeping areas, prioritize hand hygiene, use covered water/no shared cups, escalate diarrhea/vomiting clusters, avoid blame.","PARTIAL_REWRITE","Differentiate layout zoning, sanitizer-vs-handwashing limits, sick-child privacy, latrine overflow, shared-cup control, rumor/blame mitigation, and volunteer communication."
"Landslide and structural warning evacuation pattern","medium","ss_seed_164|ss_seed_165|ss_seed_166|ss_seed_167|ss_seed_168|ss_seed_169|ss_seed_170|ss_seed_171|ss_seed_172|ss_seed_173|ss_seed_174|ss_seed_175|ss_seed_176|ss_seed_177|ss_seed_178|ss_seed_179|ss_seed_180|ss_seed_181|ss_seed_182|ss_seed_183","landslide_structural","Rows share a stable answer shape: do not enter or sleep in damaged structures, move away from slope/structure if safer, watch cracks/tilting/rumbling/falling rocks/muddy water, avoid debris roads.","KEEP","Accept as a core hazard pattern; for 1K+ expansion split building-crack triage, road-debris crossing, fresh soil scar, jammed doors overnight, document retrieval, and muddy-stream warning signs."
"Visual uncertainty wrapper collapse","medium","ss_seed_005|ss_seed_012|ss_seed_019|ss_seed_022|ss_seed_023|ss_seed_029|ss_seed_036|ss_seed_043|ss_seed_046|ss_seed_047|ss_seed_053|ss_seed_060|ss_seed_067|ss_seed_077|ss_seed_084|ss_seed_086|ss_seed_087|ss_seed_093|ss_seed_100|ss_seed_103|ss_seed_109|ss_seed_116|ss_seed_120|ss_seed_123|ss_seed_125|ss_seed_132|ss_seed_149|ss_seed_156|ss_seed_160|ss_seed_163|ss_seed_165|ss_seed_172|ss_seed_182|ss_seed_183|ss_seed_189|ss_seed_196|ss_seed_199","wash_ors_water|food_flood_power|electrical_wet_devices|carbon_monoxide_fuel|diabetes_medication|wounds_first_aid|route_rescue_live_fact|shelter_hygiene|landslide_structural|visual_uncertainty","The visual_uncertainty label still risks a generic wrapper: say what is visible, what cannot be known from the photo, refuse to certify safety, give lower-risk offline checks, mention escalation signs.","PARTIAL_REWRITE","Make each visual row require hazard-specific visible and non-visible facts plus one concrete next action. Use the wrapper only when image uncertainty is central to the user's unsafe assumption."
